symbol,buy_trades_3d,sell_trades_3d,total_trades_3d,buy_sell_ratio,dates_used
KAVAUSDT,7066,6157,13223,1.1476,2026-05-21|2026-05-20|2026-05-19
BNTUSDT,8069,5075,13144,1.5900,2026-05-21|2026-05-20|2026-05-19
INITUSDT,5802,6980,12782,0.8312,2026-05-21|2026-05-20|2026-05-19
ZKCUSDT,6031,6688,12719,0.9018,2026-05-21|2026-05-20|2026-05-19
ROSEUSDT,5997,6614,12611,0.9067,2026-05-21|2026-05-20|2026-05-19
FLUXUSDT,5972,6381,12353,0.9359,2026-05-21|2026-05-20|2026-05-19
ACMUSDT,6489,5745,12234,1.1295,2026-05-21|2026-05-20|2026-05-19
GTCUSDT,5254,6980,12234,0.7527,2026-05-21|2026-05-20|2026-05-19
TNSRUSDT,5779,6352,12131,0.9098,2026-05-21|2026-05-20|2026-05-19
GASUSDT,6053,6031,12084,1.0036,2026-05-21|2026-05-20|2026-05-19
FUSDT,6157,5769,11926,1.0673,2026-05-21|2026-05-20|2026-05-19
XVGUSDT,6425,5465,11890,1.1757,2026-05-21|2026-05-20|2026-05-19
WINUSDT,5962,5767,11729,1.0338,2026-05-21|2026-05-20|2026-05-19
NEOUSDT,5782,5875,11657,0.9842,2026-05-21|2026-05-20|2026-05-19
PONDUSDT,6077,5467,11544,1.1116,2026-05-21|2026-05-20|2026-05-19
SKLUSDT,6249,5105,11354,1.2241,2026-05-21|2026-05-20|2026-05-19
LAZIOUSDT,6081,5135,11216,1.1842,2026-05-21|2026-05-20|2026-05-19
TWTUSDT,4967,6211,11178,0.7997,2026-05-21|2026-05-20|2026-05-19
AEVOUSDT,6277,4701,10978,1.3352,2026-05-21|2026-05-20|2026-05-19
HEIUSDT,4656,6313,10969,0.7375,2026-05-21|2026-05-20|2026-05-19
HMSTRUSDT,5591,5365,10956,1.0421,2026-05-21|2026-05-20|2026-05-19
TKOUSDT,6646,4297,10943,1.5467,2026-05-21|2026-05-20|2026-05-19
MIRAUSDT,5453,5484,10937,0.9943,2026-05-21|2026-05-20|2026-05-19
QUICKUSDT,5581,5327,10908,1.0477,2026-05-21|2026-05-20|2026-05-19
BREVUSDT,5333,5522,10855,0.9658,2026-05-21|2026-05-20|2026-05-19
NEXOUSDT,5525,5290,10815,1.0444,2026-05-21|2026-05-20|2026-05-19
MINAUSDT,6267,4422,10689,1.4172,2026-05-21|2026-05-20|2026-05-19
STEEMUSDT,6510,4122,10632,1.5793,2026-05-21|2026-05-20|2026-05-19
LUNAUSDT,4940,5598,10538,0.8825,2026-05-21|2026-05-20|2026-05-19
ADXUSDT,5204,5222,10426,0.9966,2026-05-21|2026-05-20|2026-05-19
FLOWUSDT,5340,4937,10277,1.0816,2026-05-21|2026-05-20|2026-05-19
AMPUSDT,5675,4499,10174,1.2614,2026-05-21|2026-05-20|2026-05-19
CVXUSDT,5225,4860,10085,1.0751,2026-05-21|2026-05-20|2026-05-19
SPELLUSDT,4192,5813,10005,0.7211,2026-05-21|2026-05-20|2026-05-19
SUPERUSDT,4168,5747,9915,0.7252,2026-05-21|2026-05-20|2026-05-19
DGBUSDT,4257,5537,9794,0.7688,2026-05-21|2026-05-20|2026-05-19
SHELLUSDT,4097,5660,9757,0.7239,2026-05-21|2026-05-20|2026-05-19
JUVUSDT,4934,4812,9746,1.0254,2026-05-21|2026-05-20|2026-05-19
1000SATSUSDT,5562,4171,9733,1.3335,2026-05-21|2026-05-20|2026-05-19
GMXUSDT,5090,4595,9685,1.1077,2026-05-21|2026-05-20|2026-05-19
AVAUSDT,5747,3821,9568,1.5041,2026-05-21|2026-05-20|2026-05-19
VELODROMEUSDT,4107,5447,9554,0.7540,2026-05-21|2026-05-20|2026-05-19
FRAXUSDT,4837,4710,9547,1.0270,2026-05-21|2026-05-20|2026-05-19
PYRUSDT,4642,4796,9438,0.9679,2026-05-21|2026-05-20|2026-05-19
MASKUSDT,4717,4439,9156,1.0626,2026-05-21|2026-05-20|2026-05-19
GNOUSDT,5338,3780,9118,1.4122,2026-05-21|2026-05-20|2026-05-19
BLURUSDT,4597,4388,8985,1.0476,2026-05-21|2026-05-20|2026-05-19
QKCUSDT,4774,3926,8700,1.2160,2026-05-21|2026-05-20|2026-05-19
GLMUSDT,3578,5108,8686,0.7005,2026-05-21|2026-05-20|2026-05-19
THEUSDT,4065,4561,8626,0.8913,2026-05-21|2026-05-20|2026-05-19
ATMUSDT,4434,4050,8484,1.0948,2026-05-21|2026-05-20|2026-05-19
THETAUSDT,3662,4822,8484,0.7594,2026-05-21|2026-05-20|2026-05-19
MAVUSDT,3893,4588,8481,0.8485,2026-05-21|2026-05-20|2026-05-19
IQUSDT,4545,3855,8400,1.1790,2026-05-21|2026-05-20|2026-05-19
ONEUSDT,3756,4631,8387,0.8111,2026-05-21|2026-05-20|2026-05-19
MAGICUSDT,3630,4657,8287,0.7795,2026-05-21|2026-05-20|2026-05-19
MEUSDT,3662,4593,8255,0.7973,2026-05-21|2026-05-20|2026-05-19
SSVUSDT,4251,3894,8145,1.0917,2026-05-21|2026-05-20|2026-05-19
